"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"United States","USA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5131266414041","28.9713312859628","25.0095798355401","23.1160290868709","21.0676586644059","20.6599320719029","20.6516846543959","20.9962673525978","21.9451051195594","23.0133237515682","19.6915128567509","18.8956353928956",
"Mexico","MEX","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5913978593753","22.716166968458","22.1706843085048","21.171240094462","21.398200692382","20.5366428725254","20.3609830067039","19.6905263836695","20.7730930037114","21.3335870946672","21.041854416617",
"India","IND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.61838606737704","7.67324605955113","7.76525596804629","7.42855405651073","8.68912719935026","9.09662570895559","7.99080243197538","7.64553108494774","7.35225095353592","9.00794862053066",
"Nigeria","NGA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.97573361525816","1.10276851090887","1.27549948192188","1.97805167650598","3.05629056505735","2.27163330159621","","1.98473180773476","1.91372227505188","1.85399755323841",
"China","CHN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.1704125158411","29.3894462337853","31.9516630118704","32.1490025212997","30.4990504270046","30.8595246980405","31.5846746715246","29.6996198797484","30.4269567738061","30.2499368021813","30.8873964823024","",
