"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"United States","USA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.7707317073171","70.2707317073171","70.119512195122","69.9170731707317","70.1658536585366","70.2146341463415","70.2121951219512","70.5609756097561","69.9512195121951","70.5073170731708","70.8073170731707","71.1073170731707","71.1560975609756","71.3560975609756","71.9560975609756","72.6048780487805","72.8560975609756","73.2560975609756","73.3560975609756","73.8048780487805","73.609756097561","74.009756097561","74.3609756097561","74.4634146341463","74.5634146341464","74.5634146341464","74.6146341463415","74.7658536585366","74.7658536585366","75.0170731707317","75.2146341463415","75.3658536585366","75.6170731707317","75.419512195122","75.619512195122","75.6219512195122","76.0268292682927","76.4292682926829","76.5804878048781","76.5829268292683","76.6365853658537","76.8365853658537","76.9365853658537","77.0365853658537","77.4878048780488","77.4878048780488","77.6878048780488","77.9878048780488","78.0390243902439","78.390243902439","78.5414634146342","78.6414634146341","78.7414634146342","78.7414634146342","78.8414634146341","78.690243902439","78.5390243902439","78.5390243902439","",
"Mexico","MEX","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","57.077","57.668","58.193","58.656","59.069","59.447","59.807","60.165","60.536","60.932","61.362","61.829","62.327","62.845","63.378","63.922","64.467","65.009","65.54","66.055","66.553","67.031","67.493","67.942","68.38","68.809","69.232","69.649","70.062","70.469","70.866","71.248","71.61","71.953","72.279","72.598","72.925","73.268","73.625","73.988","74.34","74.658","74.922","75.118","75.243","75.3","75.296","75.255","75.194","75.128","75.065","75.011","74.966","74.93","74.908","74.904","74.917","74.947","",
"India","IND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","41.422","42.027","42.637","43.252","43.873","44.5","45.136","45.779","46.428","47.081","47.737","48.398","49.061","49.722","50.374","51.012","51.63","52.222","52.786","53.319","53.814","54.268","54.686","55.074","55.441","55.801","56.169","56.553","56.963","57.4","57.865","58.353","58.851","59.349","59.84","60.32","60.783","61.233","61.669","62.093","62.505","62.907","63.304","63.699","64.095","64.5","64.918","65.35","65.794","66.244","66.693","67.13","67.545","67.931","68.286","68.607","68.897","69.165","",
"Nigeria","NGA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","36.976","37.431","37.871","38.291","38.691","39.072","39.442","39.809","40.184","40.569","40.971","41.392","41.829","42.276","42.729","43.187","43.647","44.104","44.547","44.963","45.333","45.637","45.867","46.023","46.106","46.127","46.101","46.048","45.99","45.939","45.9","45.875","45.857","45.845","45.843","45.854","45.88","45.923","45.994","46.103","46.267","46.51","46.835","47.242","47.72","48.252","48.812","49.373","49.913","50.422","50.896","51.346","51.786","52.228","52.672","53.112","53.541","53.95","",
"China","CHN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","43.725","44.051","44.783","45.972","47.592","49.549","51.696","53.847","55.843","57.603","59.085","60.303","61.344","62.281","63.134","63.915","64.631","65.278","65.857","66.377","66.844","67.26","67.627","67.949","68.231","68.473","68.673","68.831","68.954","69.054","69.145","69.242","69.355","69.496","69.67","69.885","70.14","70.428","70.737","71.063","71.397","71.732","72.061","72.381","72.689","72.985","73.271","73.553","73.835","74.119","74.409","74.708","75.013","75.321","75.629","75.928","76.21","76.47","",
