"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"United States","USA","GDP (current US$)","NY.GDP.MKTP.CD","543300000000","563300000000","605100000000","638600000000","685800000000","743700000000","815000000000","861700000000","942500000000","1019900000000","1073303000000","1164850000000","1279110000000","1425376000000","1545243000000","1684904000000","1873412000000","2081826000000","2351599000000","2627334000000","2857307000000","3207042000000","3343789000000","3634038000000","4037613000000","4338979000000","4579631000000","4855215000000","5236438000000","5641580000000","5963144000000","6158129000000","6520327000000","6858559000000","7287236000000","7639749000000","8073122000000","8577554463000","9062818211000","9630664202000","10252345464000","10581821399000","10936419054000","11458243878000","12213729147000","13036640229000","13814611414000","14451858650000","14712844084000","14448933025000","14992052727000","15542581104000","16197007349000","16784849190000","17521746534000","18219297584000","18707188235000","19485393853000","20494100000000",
"Mexico","MEX","GDP (current US$)","NY.GDP.MKTP.CD","13040000000","14160000000","15200000000","16960000000","20080000000","21840000000","24320000000","26560000000","29360000000","32480000000","35520000000","39200000000","45200000000","55280000000","72000000000","88000000000","89025974025.974","81814159292.0354","102500000000","134561403508.772","205139086956.522","263959336734.694","184609157801.418","156159198584.513","184261495828.367","195219789801.479","134550096436.744","147540738281.817","181611549975.804","221400669713.589","261253582805.945","313142768453.485","363157598242.27","500736065605.341","527813238126.278","360073909243.855","410975595310.156","500413483109.175","526502129378.284","600232874042.927","707906744574.644","756706300589.791","772106378935.377","729336319677.449","782240601984.76","877476221382.101","975387131716.089","1052696282278.88","1109989063586.62","900045350649.351","1057801295584.05","1180489601957.61","1201089987015.45","1274443084716.57","1314563967425.24","1170564619927.69","1077827944342.35","1158071006809.62","1223808885585.61",
"India","IND","GDP (current US$)","NY.GDP.MKTP.CD","37029884761.6365","39232436722.9835","42161482867.6871","48421924617.5489","56480291292.4818","59554856000.0288","45865463131.5377","50134943403.2483","53085457141.236","58447996415.5959","62422484548.3796","67350989632.712","71463195540.6261","85515271632.0276","99525901497.5755","98472798813.7125","102717166924.066","121487325381.668","137300298593.834","152991657454.179","186325349548.793","193490614662.615","200715150164.325","218262278633.435","212158239241.317","232511883406.39","248986000002.799","279033590769.841","296589001909.868","296042362070.853","320979034101.132","270105348343.706","288208437278.741","279296029670.677","327275591371.343","360281961338.465","392897063750.676","415867763815.89","421351487589.808","458820428317.587","468394948471.616","485441026156.549","514937961192.908","607699299977.15","709148531774.823","820381672147.736","940259892374.501","1216735426855.47","1198895498504.14","1341886699393.18","1675615312693.42","1823049927771.46","1827637859135.7","1856722121394.53","2039127446298.55","2103587813812.75","2290432075123.75","2652551202555.27","2726322616821.31",
"Nigeria","NGA","GDP (current US$)","NY.GDP.MKTP.CD","4196092258.15484","4467200335.99328","4909302953.94092","5165489010.2198","5552822483.55033","5874422511.54977","6366792664.14672","5203135937.28125","5200895982.08036","6634187316.25367","12545849083.0183","9181769911.50443","12274416017.7976","15162871287.1287","24846641318.1242","27778934624.6973","36308883248.731","36035407725.3219","36527862208.7133","47259911894.2731","64201788122.6054","164475209515.19","142769363313.375","97094911790.6948","73484359521.0997","73745821156.2995","54805852581.1516","52676041930.5791","49648470439.7963","44003061108.3357","54035795388.0915","49118433047.5318","47794925814.7558","27752204320.0883","33833042987.7582","44062465800.1706","51075815092.5","54457835193.4927","54604050168.1818","59372613485.6576","69448756932.5833","74030364472.0506","95385819320.5737","104911947834.122","136385979322.437","176134087150.341","236103982431.635","275625684968.615","337035512676.935","291880204327.419","363359886203.409","410334579160.752","459376049763.999","514966287334.277","568498937615.656","494583180777.103","404649527537.753","375745486520.656","397269616080.908",
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","59716467625.3148","50056868957.6732","47209359005.6056","50706799902.5103","59708343488.5043","70436266146.7219","76720285969.6157","72881631326.6715","70846535055.6503","79705906247.4612","92602973434.0726","99800958648.1436","113687586299.051","138544284708.957","144182133387.722","163431551779.761","153940455341.506","174938098826.569","149540752829.268","178280594413.043","191149211575","195866382432.54","205089699858.779","230686747153.257","259946510957.143","309488028132.653","300758100107.246","272972974764.574","312353631207.819","347768051311.741","360857912565.966","383373318083.624","426915712711.146","444731282436.762","564324670005.917","734547898220.508","863746717503.789","961603952951.82","1029043097554.08","1093997267271.06","1211346869605.24","1339395718865.3","1470550015081.55","1660287965662.68","1955347004963.27","2285965892360.54","2752131773355.16","3550342425238.25","4594306848763.08","5101702432883.45","6087164527421.24","7551500425597.77","8532230724141.76","9570405758739.79","10438529153237.6","11015542352468.9","11137945669350.6","12143491448186.1","13608151864637.9",
